Timestamp (ms),acc_x,acc_y,acc_z,label,category,participant,set
2024-11-21 15:11:52.800,,,-0.07199962416666666,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:53.000,0.027431662857142856,0.15630825276285715,-0.08013502857142858,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:53.200,-0.07500203930769231,0.04031581184615385,-0.17325592107692306,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:53.400,0.19470005361333334,0.15340288613333333,0.012319681413333332,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:53.600,0.11993578710810811,0.08918041567567568,-0.12775023556756757,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:53.800,0.12507528409767443,-0.031999331209302324,-0.1367198711627907,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:54.000,0.194855564,0.016338936666666668,-0.10303594811666666,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:54.200,-0.005424704249999998,-0.131789010375,-0.10446081813750001,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:54.400,-0.012905611410256411,-0.12558207502564103,-0.13108281728205126,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:54.600,-0.08083453995238095,,-0.012149732476190476,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:54.800,-0.0117692785,,-0.022347922500000006,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:55.000,-0.005323632319999999,-0.19488590520000001,0.008510491568,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:55.200,0.03913119386666667,-0.18579452377777778,-0.0789783961688889,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:55.400,0.17923505133333334,-0.14211241793333335,-0.08589298386666668,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:55.600,0.14268187071666666,0.02136818533333333,,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:55.800,-0.025616759000000003,,-0.19295512644444443,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:56.000,-0.11467543916666666,0.13413112216666667,-0.14697891183333334,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:56.200,0.14108376476190476,0.017893298095238097,-0.008850595345714288,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:56.400,0.16660189800000003,-0.007785533200000002,-0.10461794519999999,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:56.600,,-0.06589531038742857,-0.13359110605714286,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:56.800,0.09022549862857143,-0.012106474971428574,-0.08628238677714287,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:57.000,0.03119493462068965,-0.07959341731034483,-0.08071917474482758,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:57.200,-0.034512625103030305,-0.12096945242424241,-0.08499912539393939,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:57.400,-0.03218019465777778,-0.17680154324444444,0.017592174853333333,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:57.600,-0.07139895896,,0.06887656368,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:57.800,0.020625587914285717,,-0.04565232342857143,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:58.000,0.07186048185,-0.1294204275,-0.141194472,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:58.200,,0.05640719162962963,-0.10926074748148148,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:58.400,0.08863430245454545,0.010597872727272724,-0.13399311192727273,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:58.600,0.1212572599,,-0.0266114981,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:58.800,-0.02408820894117647,0.13302536235294116,-0.1320590678235294,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:59.000,0.14410174923529412,0.058414128117647054,-0.09597663447058824,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:59.200,0.1950019541875,-0.09635919825,-0.12803537275000001,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:59.400,0.09008368324999999,-0.05428596273333333,-0.1207904865,Arnold-press,Heavy,Razvan,19.0
2024-11-21 15:11:59.600,0.029136192758620685,-0.19524855310344827,-0.03493336764137931,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:11:59.800,0.054481236,-0.19727888799999999,0.0012649592,Arnold-press,Heavy,Razvan,20.0
2024-11-21 15:13:16.800,-0.060605866,-0.1779331457142857,,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:17.000,-0.04397208983333333,-0.13539310083333334,,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:17.200,-0.031307061444444444,-0.11511124344444444,,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:17.400,0.0019778600000000014,-0.06443341799999999,,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:17.600,-0.04076443647368421,-0.10603826810526315,-0.11094318514736841,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:17.800,,,0.008873691142857142,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:18.000,-0.023582105000000003,,-0.1283210743857143,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:18.200,0.143962791875,0.021276085287500003,-0.18051623575,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:18.400,,0.11313553488888889,-0.15675528211111112,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:18.600,0.024512338833333338,0.08506796400000001,,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:18.800,0.07677906,0.04400004116666667,-0.08039455061555556,Arnold-press,Heavy,Razvan,21.0
2024-11-21 15:13:19.000,,-0.1270393,0.06220806500000001,Arnold-press,Heavy,Razvan,21.0
